actual_fraud,amount,raw_probability,calibrated_probability,expected_loss,decision
1,500.0,0.9859983416254523,1.0,400.0,HOLD
1,500.0,0.9809182274617395,1.0,400.0,HOLD
1,275.0,0.9845021365753511,1.0,220.0,HOLD
1,500.0,0.9793081257701802,0.6926176833065445,277.0470733226178,VERIFY
0,29.51,0.9529476080124907,0.6341463414634146,14.970926829268294,VERIFY
0,64.923,0.9591698592316167,0.6341463414634146,32.93654634146342,VERIFY
1,53.795,0.9540371280025416,0.6341463414634146,27.291121951219516,VERIFY
0,226.246,0.9654229574334775,0.6341463414634146,114.77845853658538,VERIFY
0,23.854,0.9535234168515851,0.6341463414634146,12.101541463414634,VERIFY
0,23.854,0.9525115292339987,0.6341463414634146,12.101541463414634,VERIFY
1,300.0,0.9629768499458843,0.6341463414634146,152.19512195121953,VERIFY
0,300.0,0.9783837284795261,0.6341463414634146,152.19512195121953,VERIFY
1,300.0,0.955698595983169,0.6341463414634146,152.19512195121953,VERIFY
0,56.193,0.9530869167682051,0.6341463414634146,28.50766829268293,VERIFY
0,250.0,0.9552100576802969,0.6341463414634146,126.82926829268293,VERIFY
0,16.371,0.9612566973933115,0.6341463414634146,8.305287804878049,VERIFY
0,29.51,0.958778554964407,0.6341463414634146,14.970926829268294,VERIFY
1,150.0,0.9559009088493636,0.6341463414634146,76.09756097560977,VERIFY
1,250.0,0.9524263072155759,0.6341463414634146,126.82926829268293,VERIFY
1,275.0,0.9783538722632313,0.6341463414634146,139.51219512195124,VERIFY
